product_barcode,product_label,product_size,brand_name,manufacturer_country,manufacturer_name,scan_country,data_url,bottle_weight,bottle_count
6009612470045,Natural still water still,500 ml,aQuellé,ZA,Aquelle,ZA,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,3
6009612470083,Natural Spring Water,1.5 L,aQuellé,ZA,Aquelle,MZ,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,5
6009612470083,Natural Spring Water,1.5 L,aQuellé,ZA,Aquelle,SZ,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,1
6009612470175,Sparkling flavoured drink LITCHI,500 ml,aQuellé,ZA,Aquelle,MZ,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,1
6009612470298,Sparkling flavoured drink Litchi,1.5 L,aQuellé,ZA,Aquelle,MZ,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,1
6009612470502,Sparkling flavoured drink Limon,500 ml,Aqua Azul,US,Sierra Nevada,MZ,https://wastebase.org/#/o/187f5c4f-0a1b-4e34-be8d-c930d4cf8935,,1
6009612470533,Flavoured Drinking Water,1.5 L,aQuellé,ZA,Aquelle,ZA,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,7
6009612470649,Still Natural Spring Water,5.0 L,aQuellé,ZA,Aquelle,MZ,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,9
6009612470649,Still Natural Spring Water,5.0 L,aQuellé,ZA,Aquelle,ZA,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,3
6009612470694,Mineral Water,500 ml,aQuellé,ZA,Aquelle,KE,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,1
6009612470694,Mineral Water,500 ml,aQuellé,ZA,Aquelle,MZ,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,899
6009612470717,Sparkling flavoured drink strawberry,1.5 L,aQuellé,ZA,Aquelle,MZ,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,7
6009612470717,Sparkling flavoured drink strawberry,1.5 L,aQuellé,ZA,Aquelle,ZA,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,2
6009612470878,SPARKLINS FLAVOURED PINEAPPLE,500 ml,aQuellé,ZA,Aquelle,MZ,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,1
6009612471523,SPARKLING,500 ml,aQuellé,ZA,Aquelle,MZ,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,1
6009612471707,Sports drink kalamansi,600 ml,aQuellé,ZA,Aquelle,MZ,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,1
6009614733902,Apple Cider Vinegar,500ml,Health Connection Whole Foods,ZA,Health Connection Wholefoods (Pty) Ltd,MZ,https://wastebase.org/#/o/4a94c819-4fb6-4ca4-8efd-812df3479c61,,22
6009616040558,Double Cream Plain Yoghurt,1.0 L,Nutriday,FR,Danone S.A.,MZ,https://wastebase.org/#/o/833c3669-9353-4c41-9948-a1d8cfeec1b6,,6
6009616040558,Double Cream Plain Yoghurt,1.0 L,Nutriday,FR,Danone S.A.,RW,https://wastebase.org/#/o/833c3669-9353-4c41-9948-a1d8cfeec1b6,,20
6009616047533,Low Fat Fruit Cocktail Yoghurt,1000 g,Nutriday,FR,Danone S.A.,MZ,https://wastebase.org/#/o/833c3669-9353-4c41-9948-a1d8cfeec1b6,,1
6009616049322,Yogi Sip,1kg,Danone,FR,Danone S.A.,GB,https://wastebase.org/#/o/833c3669-9353-4c41-9948-a1d8cfeec1b6,,1
